Student: Student_142 (Group: 15)

Day,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00
Monday,----,----,----,----,----,----,UCCM1353 (TUTORIAL) - Ms Lim Shun Jinn at N2,----,UCCD1203 (LECTURE) - Cik Norazira Binti A Jalil at L1,cont.
Tuesday,----,UCCD1024 (LECTURE) - Ts Dr Goh Chuan Meng at L1,cont.,cont.,----,----,----,UCCM1363 (LECTURE) - Dr Nur Amalina Binti Mat Jan at L1,cont.,cont.
Wednesday,UCCD2003 (TUTORIAL) - Dr Tahayna Bashar M. A. at N1,UCCD1024 (PRACTICAL) - Ts Dr Goh Chuan Meng at N3,cont.,----,UCCD2003 (LECTURE) - Ts Dr Ku Chin Soon at L1,cont.,cont.,----,MPU3152 (LECTURE) - Puan Sarah Binti Shamshul Anwar at L1,cont.
Thursday,----,----,----,UCCD1203 (PRACTICAL) - Cik Ana Nabilah Binti Sa'uadi at N4,cont.,----,----,----,UCCM1363 (TUTORIAL) - Ms Song Poh Choo at N2,----
Friday,----,----,----,----,Prayer,Prayer,----,UCCM1353 (LECTURE) - Ms Lim Shun Jinn at L1,cont.,cont.
