Student: Student_095 (Group: 10)

Day,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00
Monday,UCCM1353 (LECTURE) - Ms Lim Shun Jinn at L1,cont.,cont.,----,----,----,UCCM1363 (LECTURE) - Dr Nur Amalina Binti Mat Jan at L1,cont.,cont.,----
Tuesday,UCCD1203 (PRACTICAL) - Dr Altahir Abdalla Altahir Mohammed at N4,cont.,UCCM1353 (TUTORIAL) - Ms Lim Shun Jinn at N1,----,----,----,----,----,----,----
Wednesday,----,UCCD2003 (LECTURE) - Ts Dr Ku Chin Soon at L1,cont.,cont.,----,----,----,UCCD2003 (TUTORIAL) - Dr Tahayna Bashar M. A. at N2,----,----
Thursday,----,----,----,UCCM1363 (TUTORIAL) - Ms Song Poh Choo at N1,----,MPU3152 (LECTURE) - Puan Sarah Binti Shamshul Anwar at L1,cont.,UCCD1203 (LECTURE) - Cik Norazira Binti A Jalil at L1,cont.,----
Friday,UCCD1024 (PRACTICAL) - Ts Lai Siew Cheng at N3,cont.,----,----,Prayer,Prayer,UCCD1024 (LECTURE) - Ts Dr Goh Chuan Meng at L1,cont.,cont.,----
